case_id,crf,avg_mbps
01230,28,0.672336
01258,28,0.839459
00961,28,0.841603
01162,28,0.716092
01333,28,0.689731
01385,28,0.706969
01283,28,0.663458
01305,28,0.856173
01443,28,0.512455
01370,28,0.678104
01400,28,0.789932
01419,28,0.819139
01563,28,0.812093
01535,28,0.738132
01711,28,0.695614
01738,28,0.854875
01567,28,0.691992
00041,33,0.533840
01636,28,0.565233
01618,28,0.719519
00066,33,0.431900
00225,33,0.277057
00084,33,0.536246
00085,33,0.517802
00086,33,0.427571
00244,33,0.334765
00088,33,0.494266
00132,33,0.532307
00208,33,0.551810
00296,33,0.351568
00509,33,0.452029
00523,33,0.471153
00358,33,0.475959
00295,33,0.472199
00482,33,0.465611
00429,33,0.501644
00512,33,0.594557
00552,33,0.552858
00583,33,0.387645
00665,33,0.367177
00759,33,0.502689
00602,33,0.570670
00761,33,0.473589
00866,33,0.443620
00788,33,0.494292
00802,33,0.499853
01043,33,0.476125
01057,33,0.331566
01122,33,0.425121
01202,33,0.343717
01230,33,0.426988
01258,33,0.523957
00961,33,0.549623
01162,33,0.461796
01333,33,0.418258
01283,33,0.430691
01385,33,0.436993
01305,33,0.565982
01443,33,0.327607
01370,33,0.440599
01400,33,0.510884
01419,33,0.534750
01535,33,0.482317
01563,33,0.507142
01711,33,0.426295
01618,33,0.472080
00041,38,0.334147
01738,33,0.539502
01567,33,0.457439
01636,33,0.367027
00066,38,0.275535
00084,38,0.337201
00225,38,0.176540
00085,38,0.328816
00086,38,0.272153
00244,38,0.209127
00132,38,0.336914
00088,38,0.314224
00208,38,0.354659
00296,38,0.223076
00295,38,0.303047
00509,38,0.280005
00523,38,0.285343
00358,38,0.299344
00429,38,0.324328
00482,38,0.302444
00512,38,0.380166
00552,38,0.359179
00583,38,0.245640
00665,38,0.231474
00602,38,0.370124
00866,38,0.273548
00759,38,0.328819
00788,38,0.314353
00761,38,0.307313
01043,38,0.298864
00802,38,0.317348
01057,38,0.206424
01122,38,0.269555
01202,38,0.212556
01230,38,0.272025
00961,38,0.351859
01258,38,0.329284
01162,38,0.296425
01333,38,0.253699
01283,38,0.278853
01305,38,0.366369
01385,38,0.270506
01443,38,0.211174
01370,38,0.281946
01400,38,0.326857
01419,38,0.342091
01563,38,0.314775
01535,38,0.308916
01711,38,0.262461
01567,38,0.289285
01738,38,0.337302
01618,38,0.306725
01636,38,0.235857
00041,43,0.212406
00066,43,0.179136
00084,43,0.213454
00225,43,0.117040
00085,43,0.208117
00244,43,0.133674
00086,43,0.175100
00132,43,0.214118
00088,43,0.199987
00208,43,0.228944
00296,43,0.144499
00509,43,0.179050
00358,43,0.191041
00523,43,0.179996
00295,43,0.196045
00429,43,0.212158
00482,43,0.198444
00512,43,0.245570
00552,43,0.236365
00583,43,0.159294
00602,43,0.243414
00665,43,0.148899
00759,43,0.215246
00866,43,0.174904
00788,43,0.201480
00802,43,0.203711
00761,43,0.201531
01043,43,0.193075
01057,43,0.132454
01122,43,0.173919
01202,43,0.136812
01230,43,0.179382
00961,43,0.226494
01258,43,0.212191
01162,43,0.190030
01333,43,0.159490
01385,43,0.172562
01283,43,0.182227
01443,43,0.138939
01305,43,0.240462
01370,43,0.184296
01400,43,0.210328
01419,43,0.217934
01563,43,0.203585
01535,43,0.200713
01711,43,0.169945
01738,43,0.217325
01567,43,0.186033
01618,43,0.199930
01636,43,0.154837
