folder,case_id,dice_avg,hd95_avg,dice_class_1,avg_mbps,bits_per_voxel
libaom_av1_crf28,00244,0.8470770989,7.0880203247,0.8470770989,,
libaom_av1_crf28,00208,0.8663554523,4.9081559181,0.8663554523,,
libaom_av1_crf28,00132,0.7823569993,5.2889289856,0.7823569993,,
libaom_av1_crf28,00296,0.8024342196,9.4148826599,0.8024342196,,
libaom_av1_crf28,00509,0.8176253473,5.7952570915,0.8176253473,,
libaom_av1_crf28,00523,0.8344882867,4.9006567001,0.8344882867,,
libaom_av1_crf28,00295,0.8301279970,5.1892996788,0.8301279970,,
libaom_av1_crf28,00429,0.8978923127,2.6882734299,0.8978923127,,
libaom_av1_crf28,00482,0.9043975790,3.5955927372,0.9043975790,,
libaom_av1_crf28,00358,0.8532948706,3.8908786774,0.8532948706,,
libaom_av1_crf28,00512,0.8341821657,4.5745658875,0.8341821657,,
libaom_av1_crf28,00552,0.8331966909,5.3205004930,0.8331966909,,
libaom_av1_crf28,00583,0.8105055614,6.2461519241,0.8105055614,,
libaom_av1_crf28,00866,0.8850990584,4.3890619278,0.8850990584,,
libaom_av1_crf28,00602,0.9078471522,3.1457171440,0.9078471522,,
libaom_av1_crf28,00665,0.8407922690,4.9492950439,0.8407922690,,
libaom_av1_crf28,00761,0.8778700780,4.5834250450,0.8778700780,,
libaom_av1_crf28,00759,0.8505055529,5.6164960861,0.8505055529,,
libaom_av1_crf28,00788,0.9185597179,3.1968729496,0.9185597179,,
libaom_av1_crf28,01043,0.7209713181,7.5997457504,0.7209713181,,
libaom_av1_crf28,01057,0.8432856567,4.4169750214,0.8432856567,,
libaom_av1_crf28,00802,0.7970165069,6.4568576813,0.7970165069,,
libaom_av1_crf28,01122,0.8212492411,4.2617950439,0.8212492411,,
libaom_av1_crf28,00961,0.8483488528,4.5567989349,0.8483488528,,
libaom_av1_crf28,01202,0.8821995432,6.4124870300,0.8821995432,,
libaom_av1_crf28,01230,0.8476721923,4.5030078888,0.8476721923,,
libaom_av1_crf28,01258,0.8827813537,3.5757486820,0.8827813537,,
libaom_av1_crf28,01333,0.8961008261,3.4515502453,0.8961008261,,
libaom_av1_crf28,01385,0.8495569640,6.0099756718,0.8495569640,,
libaom_av1_crf28,01162,0.8068903133,5.5298161507,0.8068903133,,
libaom_av1_crf28,01305,0.9085322576,3.1198270321,0.9085322576,,
libaom_av1_crf28,01283,0.9189908985,2.6102378368,0.9189908985,,
libaom_av1_crf28,01443,0.7819940251,12.2319459915,0.7819940251,,
libaom_av1_crf28,01370,0.8763919805,4.2814817429,0.8763919805,,
libaom_av1_crf28,01563,0.8515617068,4.3183609724,0.8515617068,,
libaom_av1_crf28,01400,0.8659089368,4.0876488686,0.8659089368,,
libaom_av1_crf28,01419,0.7574319763,7.7943677902,0.7574319763,,
libaom_av1_crf28,01535,0.8739938779,4.3472795486,0.8739938779,,
libaom_av1_crf28,01738,0.8327346155,4.3510537148,0.8327346155,,
libaom_av1_crf33,00041,0.8749283948,3.9801990986,0.8749283948,,
libaom_av1_crf28,01711,0.7256168060,7.6436438560,0.7256168060,,
libaom_av1_crf28,01618,0.8144492332,5.5307674408,0.8144492332,,
libaom_av1_crf28,01567,0.8557811750,6.6751174927,0.8557811750,,
libaom_av1_crf28,01636,0.8667099888,5.7532281876,0.8667099888,,
libaom_av1_crf33,00066,0.8386633035,5.5590758324,0.8386633035,,
libaom_av1_crf33,00085,0.8546760182,4.0777153969,0.8546760182,,
libaom_av1_crf33,00088,0.8503852093,4.6362051964,0.8503852093,,
libaom_av1_crf33,00084,0.8125509691,5.5663690567,0.8125509691,,
libaom_av1_crf33,00225,0.8396402786,7.4726128578,0.8396402786,,
libaom_av1_crf33,00086,0.8228324093,5.5298151970,0.8228324093,,
libaom_av1_crf33,00132,0.7756826058,5.3823370934,0.7756826058,,
libaom_av1_crf33,00244,0.8407037842,7.5046648026,0.8407037842,,
libaom_av1_crf33,00208,0.8610087039,5.1026091576,0.8610087039,,
libaom_av1_crf33,00296,0.8063792157,9.4148842812,0.8063792157,,
libaom_av1_crf33,00509,0.8178707451,5.8496807337,0.8178707451,,
libaom_av1_crf33,00523,0.8329842757,5.0471711159,0.8329842757,,
libaom_av1_crf33,00295,0.8223931881,5.4036998749,0.8223931881,,
libaom_av1_crf33,00358,0.8515057355,3.8828618526,0.8515057355,,
libaom_av1_crf33,00482,0.8991181825,3.7642319202,0.8991181825,,
libaom_av1_crf33,00429,0.8971663999,2.6882755756,0.8971663999,,
libaom_av1_crf33,00512,0.8327182098,4.5120820999,0.8327182098,,
libaom_av1_crf33,00552,0.8256466109,5.3811404228,0.8256466109,,
